FAVOR	RT PAHPontevedra Estamos presentando Las5delaPAH en Redondela   Marianicooo Que no te enfrentas a políticos Te enfrentas a todo un pueblo JaEmGuanyat 1O  Para marianorajoy Xa hacienda Xa la guardiacivil Xa la const Española Xa la monarquía Respeto y soberanía q os debo  
FAVOR	Enjoying Ibizaa First Steps with AirCrack Señor  marianorajoy porque ha cambiado usted de opinión  Votarem catalunyanouestatdeuropa 1Oct2017 RT frogermcs 280 chars tweets so you can finally write down entire Activity lifecycle onCreateonAttachFragmentonContentChanged
FAVOR	 1Oct  Sr Zoido Sra Cospedal quiten vuestras XXXX manos de las Redes Handsoff Catalonia Netneutrality RT IsidorMari 2711 Estat de setge 
AGAINST	RT socialistescat El diàleg polític és lúnica via per sortir del carreró sense sortida en el que ens hem situat miqueliceta  1O RT  Caterinamieras La democracia constitucional se defiende por  joaquimcoll  vía  Elperiodico RT socialistescat  A cada insult una proposta a cada atac una idea a cada exageració un somriure Tot el suport al pscsalt i al 
AGAINST	RT socialistescat El diàleg polític és lúnica via per sortir del carreró sense sortida en el que ens hem situat miqueliceta  1O RT  miqueliceta Editorial de El País 21092017  Las mentiras de Puigdemont  via  elpais RT PSCBaix El nostre suport als companys i les companys socialistes de santandreudelabarca 
NONE	RT socialistescat El diàleg polític és lúnica via per sortir del carreró sense sortida en el que ens hem situat miqueliceta  1O RT  Caterinamieras El choquedetrenes invade la calle por  joantapia00  vía  Elperiodico RT socialistescat  EvaGranados Ens agradaria que acabés aquesta dinàmica de confrontació i que ambdós governs obrissin una nova eta
NONE	Los recortes dificultan la respiración posibilidad de asfixia sin aire no hay esperanza  no más fango para respirar Forman bandos van aislando nuestra identidad 1Oct2017 referendum1deoctubre RT JavierEstevez  no más fango para respirar Forman bandos van aislando nuestra identidad 1Oct2017 refere
NONE	pirlosantos por eso he escrito salpicados El Gobierno ofrece más dinero y más autonomía si la Generalitat se olvida del 1O  RT elpais ÚLTIMA HORA  El Gobierno aplaza los Presupuestos Generales por la crisis en Cataluña 
NONE	pirlosantos por eso he escrito salpicados Primeras multas por el 1O El TC multa con 12000 a los miembros de la sindicatura electoral El juez cree que la Generalitat se gastará algo más de 6 millones en el 1O Un millón más de lo que costó el 9N 
NONE	pirlosantos por eso he escrito salpicados El juez cree que la Generalitat se gastará algo más de 6 millones en el 1O Un millón más de lo que costó el 9N   RT ObjetivoLaSexta Según el Gobierno las detenciones de cargos de la Generalitat las ordenó un juezY no fue exactamente así 
NONE	pirlosantos por eso he escrito salpicados Puigdemont publica la web con la información sobre dónde se podrá votar el 1O Pero es   MamenHidalgo a ti te funciona ahora aquí en la redac a nadie no hemos podido abrirla ninguno
AGAINST	CercaniasVLC Recordeu que tant en valencià com en castellàes València ho dic pel nom del twitter Deuria ser CercaniasRodalia València Al final van a repartir las papeletas del 1Oct los repartidores de  Deliveroo metrovalencia lo digo por si hay algunoa a partir de las 0000 para cogerlo gratis
AGAINST	Betty Brosmer  Ayer Rajoy hablaba de firmeza frente a los secesionistas Hoy ya están pensando en las concesiones que les harán tras el 1O sumisión RT Miotroyo2parte Recuerden su nombre David Gasull i Sanglas Es el cabo de los mossos que ayer participó en los ataques contra la gua
NONE	Y aqui ando en la consulta del medico Igual me estoy muriendo no lo se O igual muero mientras espero 1octL6 Me estoy haciendo una Pizza de Casa Tarradellas Estoy cometiendo un crimen de estado DudasExistenciales Emsebg Ya ya Jajaja Hasta que dia estas Yo no estoy en Pucela esta semana
FAVOR	Unete a Castillo Furioso Castle Clash El mejor juego  podridos CorruPPtos españa 1Oct IndependenciaCatalunya por esta gentuza merecemos la independencia Que nos r  RT Accountable2019 Todos los grupos excepto PP PSOE y Cs denuncian represión en ProtestasCatalunyaARVCon quién estás más de acuerd
FAVOR	LaGala22 GRRRCAMACHO GRRRRRRBUBUB  Ni para combatir a ETA tomó jamás el Estado el control de la Ertzaintza Las urnas dan más miedo q las bombas 1Oct2017 1ONadaQueVotar  RT agarzon De momento no podemos salir porque no hay efectivos suficientes de la policía nacional Están todos buscando urnas y papeletas
FAVOR	RT ManuelCuyas Sedició és imprimir ses paperetes amb sa impressora de casa  InesArrimadas no adoctrinéis a los niños Claro que si guapi referendum votaremiguanyarem 1octubreARV  RT solertoni Ens estan detenint gent intervenen els Mossos i conculquen drets bàsics Perdoneu per no estar preocupat per en Serrat ar
NONE	Aprendiendo chino España tiene un problema necesita reforma pero el gobierno actual está incapacitado para liderarla 1octubreARV CatalonianReferendum RT politikones Cataluña esto tiene arreglo 
NONE	Medio millar de miembros de la PAH ocupa la sede de BBVA en Sabadell  Barcelona  elmundoes  vía elmundoes PAH Acto político de  unisxrepublica en el campus de la UAB 1O2017 1Oct2017 Referendum1oct democracia referendum  RT HelenaMaleno SENTENCIA El Tribunal Europeo de DDHH acaba de condenar al Estado español por la práctica ilegal de devoluciones en ca
FAVOR	RT ColonosCs HAS VISTO EN CATALUÑA ADOCTRINAN A LOS NIÑOS CON FANALETS MejorHundidos    alvaritooo2  SupCastellon Después de lo que pase el 1OCT no va a ir nadie En Cataluña pocos se creen vuestra España PatFBermejo SupCastellon guardiacivil AUGCPORTAVOZ AUGCComunica AUGCVALENCIA FarfanJCF augcjuridico 
FAVOR	RT PodemosCyL PabloFdez reclama a Herrera que ponga fin al desmantelamiento de la sanidad pública de CyLPlenoCCyL DigamosHastaA 1octL6 el nivel intelectual del representante del PP el señor Albiol es sencillamente lamentable Machista xenófobo y muy limitado 1octL6 escuchar hoy al PP argumentando sobre democracia y respeto a la legalidad es igual que oír a Donald Trump hablando de feminismo
NONE	Ils ne changeront pas nos vies  FAQSvigiliaTV3 1octL6  1octubreARV Gabilondo 30SALasVias  Qué estais haciendo   Creando problemas en bucle  CatalanReferendum 1OctARV referendumRAC1 censuniversal censuniversal  Rajoy pues estàn votando Osti  
NONE	Mi primer tweet y sólo 140 caracteres para usar Creo que voy a guardar fuerzas para cuando tenga algo interesante realmente que decir El esperpento político en España y Cataluña hoy está de gala 1octubreARV Se le debería de caer la cara de vergüenza a Rufián cuando habla de fascismoEsa Historia a la que apela la desconoce
NONE	PadreEmerito PPopular KRLS Yo espero que removamos conciencias y que los españoles despierten de una vez y exija  Gran vídeo para aquellos que sois normales hispanoMola A3dias1OctARV 1octubreARV  ignacioquinter PPopular La buscas tú O también pones más leña en el fuego
FAVOR	RT 324cat Un milió de persones desborden el centre de Barcelona en un 11S amb l1O a lhoritzó  11STV3 11SCatR Es el vecino el que elije el alcalde y es  marianorajoy el que detiene el alcalde DefenderLaDemocracia Referendum 1Oct RT KRLS On es podrà votar el proper dia 1 doctubre En aquesta web trobaràs el lloc on et correspon 
FAVOR	 Lo peor no son las mentiras q digan sobre Catalunya lo peor es q os las creéis 1Oct2017 RT solertoni Millo respecta els ciutadans agredits Tu hauries fugit a la primera empenteta 
