id_str	TWEET	LABEL	preprocessing_B
1099284472267182080	RT @EFEnoticias: Arrimadas se presenta a las generales   sacar a Sánchez de Moncloa  #EFEURGENTE	AGAINST	 arrimadas se presenta a las generales sacar a sánchez de moncloa #efeurgente
1102569937447673856	@gabrielrufian Derecho a la autodeterminación - Golpe de estado  Presos políticos - Golpistas  Merienda con los colegas - Rebelión  15 meses, no hay plan B - Hasta pudrirme de pasta   De nada.	AGAINST	derecho a la autodeterminación golpe de estado presos políticos golpistas merienda con los colegas rebelión meses no hay plan b hasta pudrirme de pasta de nada
1097576883464609793	#URGENTE ???? #Cataluña: Los CDR atacan con pintura el cuartel de la @guardiacivil  Vic La kale borroca catalana actuando con total impunidad. #elecciones2019votoderechas #jusapol @jusapol @AFAPOL_ #EquiparacionYa  https://t.co/eHmn0ICRKt	AGAINST	#urgente #cataluña los cdr atacan con pintura el cuartel de la vic la kale borroca catalana actuando con total impunidad #eleccionesvotoderechas #jusapol #equiparacionya
1097475970355904514	Cansado de los eslóganes de izquierdas y derechas. Quiero un país que progrese, que acabe con los chiringuitos, los privilegios políticos, las condonaciones bancarias a los partidos que olvidan a las personas ¿es izquierdas o es derechas? Sinceramente me da igual, quiero valores https://t.co/j1Ztzi1GC2	AGAINST	cansado de los eslóganes de izquierdas y derechas quiero un país que progrese que acabe con los chiringuitos los privilegios políticos las condonaciones bancarias a los partidos que olvidan a las personas es izquierdas o es derechas sinceramente me da igual quiero valores
1093133896936505345	Le recuerdo a @EnricJuliana que en Cataluña los no indepes no nos podemos manifestar!!! #RelatorARV	NEUTRAL	le recuerdo a que en cataluña los no indepes no nos podemos manifestar #relatorarv
1099380475876069379	RT @agdjunt: Cita de Machado que no verás reproducir en los homenajes que ciertos políticos le están haciendo https://t.co/efYA4MjgNd	AGAINST	 cita de machado que no verás reproducir en los homenajes que ciertos políticos le están haciendo
1103731753729036289	Me parece muy raro que la gallifanta y toda la patulea indepe no hayan hecho mención alguna a las declaraciones de los testigos que comprometen a los golpistas. Van a tener que tomar Almax para digerir bien la realidad   #JuicioProces	AGAINST	me parece muy raro que la gallifanta y toda la patulea indepe no hayan hecho mención alguna a las declaraciones de los testigos que comprometen a los golpistas van a tener que tomar almax para digerir bien la realidad #juicioproces
1099293470487908350	Así es Inés Arrimadas: su carrera en 10 vídeos https://t.co/AgHYYeboN4	NEUTRAL	así es inés arrimadas su carrera en vídeos
1103003604191989760	#1O Qué hecho delictivo o indicio de delito es que a #Trapero no le gustara el nombramiento del ahora coronel Pérez? Llevamos media hora con esta absurda cantinela	FAVOR	#o qué hecho delictivo o indicio de delito es que a #trapero no le gustara el nombramiento del ahora coronel pérez llevamos media hora con esta absurda cantinela
1102981063507349504	RT @omundodaboIa: Melhor lateral direito do Mundo!🔥🔥 https://t.co/zuVcUuTOCg	NEUTRAL	 melhor lateral direito do mundo
1098834615484203008	🔴Os contamos un hecho lamentable y es como unos radicales separatistas han acosado a un mujer que se ha negado a cerrar su negocio en Barcelona. Lo podéis ver 👇 https://t.co/qZZu79VYad	AGAINST	os contamos un hecho lamentable y es como unos radicales separatistas han acosado a un mujer que se ha negado a cerrar su negocio en barcelona lo podéis ver 
1095987315930001408	? #EnDirecto @rogertorrent cree que la intervención de @junqueras se leerá  en los libros de historia  #JuicioProces https://t.co/xIuUKKWTze https://t.co/FuQOlnAyQz	AGAINST	#endirecto cree que la intervención de se leerá en los libros de historia #juicioproces
1103584737166278657	RT @PJuvencioC: @lopez_vallet Hitler hizo exactamente lo que los indepes, pervertir la ley mediante el fraude para acabar con todos los con…	AGAINST	 hitler hizo exactamente lo que los indepes pervertir la ley mediante el fraude para acabar con todos los con
1093270765833736192	@ErnestoEkaizer Dígale al imbécil de Alfonso Guerra que en su transición había un ejército que ya hizo de “relator” en la redacción de la constitución. Llámale relator, llámale amenazador.	FAVOR	dígale al imbécil de alfonso guerra que en su transición había un ejército que ya hizo de relator en la redacción de la constitución llámale relator llámale amenazador
1093207322019708933	@RupertCocke @sarcasmodigame @MariadelMarMen9 Estoy de acuerdo, pero es que no se ha empezado ni a debatir… Para ir de la A a Z, lo importantes es pasar por B C D E…, es decir, introduciendo la democracia directa poco a poco... A TODOS los políticos (incluidos indepes) les interesa mantener la Partidocracia.	FAVOR	estoy de acuerdo pero es que no se ha empezado ni a debatir para ir de la a a z lo importantes es pasar por b c d e es decir introduciendo la democracia directa poco a poco a todos los políticos incluidos indepes les interesa mantener la partidocracia
1097816125608468480	Aquí tenéis la miga del independentismo. Alguien q llama invasores a quienes han sido elegidos democráticamente (no a dedo como los presidents) Alguien cuyo argumento es el insulto, alguien q dice q ¡Cat es una nación! ¡Y anterior a España! Discípulo d Cucurull y d la estulticia https://t.co/2xVsKf00EZ	AGAINST	aquí tenéis la miga del independentismo alguien q llama invasores a quienes han sido elegidos democráticamente no a dedo como los presidents alguien cuyo argumento es el insulto alguien q dice q cat es una nación y anterior a españa discípulo d cucurull y d la estulticia
1096007723479691264	@jordialapreso Es exactamente al revés. La política española y la vida en general continuarán pero en CataluÑa o el independentismo se baja del burro o seguiremos bloqueados hasta que la población los rechace rotundamente, cosa que se está produciendo ya, debido a la aberrante caza de brujas	FAVOR	es exactamente al revés la política española y la vida en general continuarán pero en cataluña o el independentismo se baja del burro o seguiremos bloqueados hasta que la población los rechace rotundamente cosa que se está produciendo ya debido a la aberrante caza de brujas
1097614614156771331	@rosamariaartal Yo en Sant Jordi espero no encontrarme a políticos dando rosas. Que no me fastidien el día.	FAVOR	yo en sant jordi espero no encontrarme a políticos dando rosas que no me fastidien el día
1096111489835024384	ITALIA ha gastado 15 millones de euros en programa de empleo para inmigrantes musulmanes, pero logró que solo 120 trabajen (de cientos de miles)  ?estos ilusionistas ???!!!  #VoxExtremaNecesidad #EspañolesPrimero #DefiendeEspaña #StopIslam #AhoraVOX  https://t.co/CF1WrfwdxT	AGAINST	italia ha gastado millones de euros en programa de empleo para inmigrantes musulmanes pero logró que solo trabajen de cientos de miles estos ilusionistas #voxextremanecesidad #españolesprimero #defiendeespaña #stopislam #ahoravox
